Ticker,net_income,op_income,gross_profit,crr_asst,ncrr_asst,crr_libt,ncrr_libt
HSIC,406299000.0,859369000.0,3399103000.0,4086020000.0,3777975000.0,2828975000.0,1378472000.0
ALXN,443300000.0,668400000.0,3096900000.0,2953900000.0,10629400000.0,952500000.0,3737700000.0
KR,1975000000.0,3436000000.0,25835000000.0,10340000000.0,26165000000.0,12860000000.0,16935000000.0
BBT,2394000000.0,3718000000.0,10770000000.0,0.0,221642000000.0,0.0,191947000000.0
DIS,8980000000.0,13775000000.0,24831000000.0,15889000000.0,79900000000.0,19595000000.0,31190000000.0
MMC,1492000000.0,2655000000.0,14024000000.0,5562000000.0,14867000000.0,4262000000.0,8725000000.0
MAR,1459000000.0,2504000000.0,3813000000.0,2740000000.0,21106000000.0,5807000000.0,14457000000.0
CELG,2940000000.0,4707000000.0,12542000000.0,14892000000.0,15249000000.0,2987000000.0,20233000000.0
VMC,601185000.0,639044000.0,993513000.0,1180101000.0,8324790000.0,442872000.0,4093126000.0
RHI,290584000.0,515717000.0,2163812000.0,1431869000.0,435585000.0,747896000.0,14293000.0
MKC,443500000.0,702400000.0,2010200000.0,1617000000.0,8768800000.0,1947300000.0,5867600000.0
PGR,1592200000.0,2292000000.0,8031000000.0,0.0,38701200000.0,0.0,28912700000.0
ILMN,726000000.0,606000000.0,1826000000.0,2980000000.0,2277000000.0,746000000.0,1762000000.0
AMAT,3434000000.0,3868000000.0,6532000000.0,12918000000.0,6501000000.0,4115000000.0,5955000000.0
LEG,292600000.0,456300000.0,882400000.0,1766500000.0,1784300000.0,976200000.0,1383800000.0
STI,2273000000.0,2814000000.0,8578000000.0,0.0,205962000000.0,0.0,180808000000.0
GS,4286000000.0,11789000000.0,32730000000.0,0.0,916776000000.0,0.0,834533000000.0
RTN,2024000000.0,4231000000.0,7008000000.0,11326000000.0,19534000000.0,7348000000.0,13549000000.0
KMI,183000000.0,3529000000.0,6490000000.0,2715000000.0,76340000000.0,6181000000.0,37750000000.0
CRM,360000000.0,454000000.0,7767000000.0,9584000000.0,12400000000.0,10067000000.0,1541000000.0
STZ,1535100000.0,2137000000.0,3529400000.0,3230000000.0,15372400000.0,2697600000.0,9020000000.0
INFO,139400000.0,230100000.0,947900000.0,311000000.0,2785700000.0,500800000.0,540000000.0
AAP,475505000.0,570212000.0,4085049000.0,5426892000.0,3055409000.0,3480097000.0,1587008000.0
EXC,3786000000.0,4162000000.0,7774000000.0,11896000000.0,104874000000.0,10798000000.0,73785000000.0
MCO,1000600000.0,1820800000.0,4204100000.0,2580600000.0,6013600000.0,2063300000.0,6645800000.0
AGN,-4125500000.0,-5921200000.0,13772700000.0,11376700000.0,106965200000.0,9848100000.0,34656700000.0
C,-6798000000.0,22761000000.0,64993000000.0,0.0,1842465000000.0,0.0,1640793000000.0
NTRS,1199000000.0,1633900000.0,5403300000.0,0.0,138590500000.0,0.0,128374300000.0
TMK,1454494000.0,915180000.0,1927698000.0,0.0,23474985000.0,0.0,17243564000.0
EW,583600000.0,1029300000.0,2560000000.0,2549200000.0,3117200000.0,1420000000.0,1290200000.0
NEE,5380000000.0,5173000000.0,9644000000.0,7181000000.0,90782000000.0,11243000000.0,57189000000.0
BBY,1228000000.0,1854000000.0,9440000000.0,10516000000.0,3340000000.0,7122000000.0,2025000000.0
RCL,1625133000.0,1744056000.0,3881266000.0,907637000.0,21453289000.0,4854873000.0,6803750000.0
VIAB,1874000000.0,2464000000.0,5827000000.0,5801000000.0,17897000000.0,3753000000.0,13826000000.0
TTWO,67303000.0,91305000.0,756789000.0,2195242000.0,953912000.0,1685892000.0,459534000.0
AWK,426000000.0,1512000000.0,1988000000.0,720000000.0,18762000000.0,2325000000.0,11772000000.0
MO,10222000000.0,9593000000.0,11963000000.0,4344000000.0,38858000000.0,6792000000.0,20992000000.0
WAT,20311000.0,661858000.0,1362011000.0,4270134000.0,1054220000.0,606157000.0,2484409000.0
EQR,603454000.0,847471000.0,1645137000.0,0.0,20570599000.0,0.0,9729781000.0
MA,3915000000.0,6622000000.0,12497000000.0,13797000000.0,7532000000.0,8793000000.0,6968000000.0
TGT,2914000000.0,4224000000.0,21589000000.0,12540000000.0,27763000000.0,13052000000.0,15600000000.0
DG,1538960000.0,2007818000.0,7221359000.0,4247852000.0,8269059000.0,2964878000.0,3426259000.0
JPM,22567000000.0,41190000000.0,100705000000.0,0.0,2533600000000.0,0.0,2277907000000.0
IT,3279000.0,-6329000.0,1991296000.0,2588608000.0,4694565000.0,2822585000.0,3477123000.0
LYB,4879000000.0,5460000000.0,6425000000.0,11738000000.0,14468000000.0,4777000000.0,12479000000.0
ISRG,670900000.0,1062900000.0,2202000000.0,2808900000.0,2967900000.0,662800000.0,333600000.0
ABC,364484000.0,1060342000.0,4546002000.0,24303299000.0,11013171000.0,26818165000.0,6433844000.0
FCX,1821000000.0,3690000000.0,4423000000.0,10626000000.0,26676000000.0,4914000000.0,21092000000.0
ETR,425353000.0,1360407000.0,3562541000.0,3285331000.0,43421818000.0,5036207000.0,33678427000.0
LB,983000000.0,1728000000.0,4959000000.0,3293000000.0,4856000000.0,2031000000.0,6869000000.0
GWW,586000000.0,1035000000.0,4098000000.0,3206000000.0,2598000000.0,1507000000.0,2469000000.0
GT,365000000.0,1283000000.0,3697000000.0,6079000000.0,10985000000.0,5025000000.0,7189000000.0
CF,358000000.0,225000000.0,434000000.0,1465000000.0,11998000000.0,580000000.0,6199000000.0
DVA,663618000.0,1821395000.0,3236629000.0,8770701000.0,10203835000.0,3067520000.0,10009590000.0
CAH,1288000000.0,2125000000.0,6544000000.0,28345000000.0,11767000000.0,21221000000.0,12063000000.0
ADP,1733400000.0,2326800000.0,5110000000.0,32658700000.0,4521300000.0,29815900000.0,3387100000.0
CAG,639300000.0,925000000.0,2342100000.0,2013200000.0,8083100000.0,1720500000.0,4298000000.0
YUM,1340000000.0,2761000000.0,2687000000.0,2507000000.0,2804000000.0,1512000000.0,10133000000.0
D,2999000000.0,3937000000.0,5710000000.0,4334000000.0,72251000000.0,9636000000.0,47579000000.0
CL,2024000000.0,3707000000.0,9280000000.0,4639000000.0,8037000000.0,3408000000.0,9025000000.0
PRGO,119600000.0,598200000.0,1979500000.0,2819600000.0,8809200000.0,1436000000.0,4022200000.0
AZO,1280869000.0,2080069000.0,5739620000.0,4611255000.0,4648526000.0,4766301000.0,5921857000.0
ETFC,614000000.0,1122000000.0,2366000000.0,0.0,63365000000.0,0.0,56434000000.0
